Eintragsnummer;Tree;BLEU;BCR;FCR;Gapping;SGF;LCO;NoCCE;"Phenomena simplified (b/f/g/s/k=not-bfgs-coord);""-"" kein Phänomen, gegebenenfalls Satzkoordination(en)";Phenomena Bemerkung;Treebank-Sentence;Reconstructed-Sentence;Gold_1;Gold_2;Gold_3
565;(s103264_VROOT(SIMPX(VF(PX(APPR-d In)(NX-HD-dsf(PDAT-dsf dieser)(NN-dsf Verfassung))))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF-3s(NX-ON(NX-HD-nsn(ART-nsn das)(NN-nsn Recht))(NX(NX-HD-gsf(ART-gsf der)(ADJX-gsf(ADJA-gsf sorbischen))(NN-gsf Minderheit))($, ,)(RSIMPX(C-3s(NX-ON-nsf(PRELS-nsf die)))(MF(PX(APPR-d in)(NX-HD(NX-KONJ-dsn(NN-dsn Horno))(KON und)(NX-KONJ-dsf(NN-dsf Umgebung)))))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis siedelt)))))))($, ,)(VC-VVPP(VVPP-OV(VVPP verankert))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;In dieser Verfassung ist das Recht der sorbischen Minderheit , die in Horno und Umgebung siedelt , verankert .;In dieser Verfassung ist das Recht der sorbischen Minderheit , die in Horno und Umgebung siedelt , verankert .;In dieser Verfassung ist das Recht der sorbischen Minderheit , die in [Horno und Umgebung] siedelt , verankert .;;
566;"(s99504_VROOT(SIMPX(SIMPX-KONJ(VF-3s(NX-ON-nsm(NX-gsm(NE-gsm Kensbocks))(NN-nsm Umsatz)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis stagniert))))($, ,)(SIMPX-KONJ(VF-3s(NX-ON(NX-APP-nsm(ART-nsm der)(NN-nsm Ökoladen))(NX-APP-ns*($LPar "")(NE-ns* Biotopia)($RPar ""))))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis kämpft)))(MF(ADVX(ADV gar))(PX(APPR-d mit)(NX-HD(NX-HD-dsm(ART-dsm einem)(NN-dsm Rückgang))(PX(APPR-d zwischen)(NX-HD-dpn(ADJX(ADJX(CARD 10))(KON und)(ADJX(CARD 20)))(NN-dpn Prozent))))))))($. .))";0,613287826808612;0;0;0;0;1;0;k;NP Koord PP;"Kensbocks Umsatz stagniert , der Ökoladen "" Biotopia "" kämpft gar mit einem Rückgang zwischen 10 und 20 Prozent .";"Kensbocks Umsatz stagniert gar_bcr mit_bcr einem_bcr Rückgang_bcr zwischen_bcr 10_bcr und_bcr 20_bcr Prozent_bcr , der Ökoladen "" Biotopia "" kämpft gar mit einem Rückgang zwischen 10 und 20 Prozent .";"Kensbocks Umsatz stagniert , der Ökoladen "" Biotopia "" kämpft gar mit einem Rückgang zwischen 10 und 20 Prozent .";;
567;"(s103057_VROOT(SIMPX(VF(SIMPX-OS($LPar "")(SIMPX-KONJ(VF-1s(NX-ON-ns*1(PPER-ns*1 Ich)))(LK-VAFIN-1sis(VAFIN-HD-1sis(VAFIN-1sis bin)))(MF(NX-PRED-nsm(ART-nsm ein)(NN-nsm Vorbereiter))))($, ,)(SIMPX-KONJ(VF-1s(NX-ON-ns*1(PPER-ns*1 ich)))(LK-VVFIN-1sis(VVFIN-HD-1sis(VVFIN-1sis schaffe)))(MF(NX-OA-apn(ART-apn die)(NN-apn Löcher))))($RPar "")))($, ,)(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis sagt)))(MF-3s(NX-ON-nsm3(PPER-nsm3 er))(PX(APPR-d zu)(NX-HD-dsf(PPOSAT-dsf seiner)(NN-dsf Verteidigung)))))($. .))";0,777811122305422;0;0;0;0;0;1;-;Satz Koord;""" Ich bin ein Vorbereiter , ich schaffe die Löcher "" , sagt er zu seiner Verteidigung .";""" Ich bin ein Vorbereiter , ich schaffe die Löcher "" , sagt er zu seiner Verteidigung .";Ich bin ein Vorbereiter , ich schaffe die Löcher  , sagt er zu seiner Verteidigung .;;
568;(s100530_VROOT(SIMPX(VF(NX-OA-ap*(PIS-ap* Letztere)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gibt)))(MF-3s(NX-ON-nsn3(PPER-nsn3 es))(ADVX(ADV insbesondere))(PX(APPR-d bei)(NX-HD(NX-HD-dpf(ART-dpf den)(NN-dpf Filialen))(NX(NX-APP-gsf(ART-gsf der)(NN-gsf Kette))(NX-APP(NX-gsn(NE-gsn Hollywood))(NE-gs* Canteen)))))($, ,)(PX(APPR-d auf)(NX-HD-dsf(ART-dsf der)(NN-dsf Mattscheibe))))(VC-PTKZU(PTKZU-OV(PTKZU-KONJ(PTKZU zu)(VVINF bejubeln))($D -)(KON oder)(PTKZU-KONJ(PTKZU zu)(VVINF bedauern)))))($. .));0,568580597991879;0;1;1;0;0;0;fg;fg;Letztere gibt es insbesondere bei den Filialen der Kette Hollywood Canteen , auf der Mattscheibe zu bejubeln - oder zu bedauern .;Letztere gibt es insbesondere bei den Filialen der Kette Hollywood Canteen zu_g bejubeln_g -_g oder_g zu_g bedauern_g , letztere_f auf der Mattscheibe zu bejubeln - oder zu bedauern .;Letztere gibt es insbesondere bei den Filialen der Kette Hollywood Canteen , auf der Mattscheibe zu bejubeln - oder Letztere_fg gibt_fg es_fg insbesondere_fg bei_fg den_fg Filialen_fg der_fg Kette_fg Hollywood_fg Canteen_fg , auf_fg der_fg Mattscheibe_fg zu bedauern $LP$ $RP$ .;;
569;(s102300_VROOT(SIMPX(VF-3s(NX-ON(NX-HD(NX-HD-nsm(ART-nsm Der)(NN-nsm Kampf))(NX-gpf(ART-gpf der)(ADJX-gpf(ADJA-gpf jungen))(NN-gpf Frauen)))(PX(APPR-a um)(NX-HD-asn(PPOSAT-asn ihr)(NN-asn Kopftuch)))))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis läßt)))(MF(NX-OA-ap*(PIS-ap* viele))(NX-OA(NX-HD-asn(PPOSAT-asn ihr)(ADJX-asn(ADJA-asn altes))(NN-asn Verständnis))(PX(APPR-d von)(NX-HD(NX-KONJ-dsf(NN-dsf Modernität))(KON und)(NX-KONJ-dsf(NN-dsf Demokratie))))))(VC-VVINF(VVINF-OV(VVINF überdenken))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Der Kampf der jungen Frauen um ihr Kopftuch läßt viele ihr altes Verständnis von Modernität und Demokratie überdenken .;Der Kampf der jungen Frauen um ihr Kopftuch läßt viele ihr altes Verständnis von Modernität und Demokratie überdenken .;Der Kampf der jungen Frauen um ihr Kopftuch läßt viele ihr altes Verständnis von [Modernität und Demokratie] überdenken .;;
570;(s104566_VROOT(SIMPX(VF-3s(NX-ON-nsn(NE-nsn Paris)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(PX(APPRART-dsn zum)(NX-HD-dsn(NN-dsn Beispiel)))(ADVX(ADV mehr))(NX-PRED(NX-HD-nsn(NN-nsn Machtzentrum))(NX(KOKOM als)(NX-HD(NX-KONJ-nsn(NE-nsn Bonn))(KON oder)(NX-KONJ-nsn(NE-nsn Berlin))))))($, ,)(NF(CSIMPX(CKOU(KOUS da))(MF-3s(NX-ON-nsn3(PPER-nsn3 es))(PX(APPR-d in)(NX-HD-dsn(NE-dsn Deutschland)))(NX-OA-apn(ART-apn die)(NN-apn Länder)))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gibt))))))($. .));1;0;0;0;0;1;0;k;NP Koord DA;Paris ist zum Beispiel mehr Machtzentrum als Bonn oder Berlin , da es in Deutschland die Länder gibt .;Paris ist zum Beispiel mehr Machtzentrum als Bonn oder Berlin , da es in Deutschland die Länder gibt .;Paris ist zum Beispiel mehr Machtzentrum als [Bonn oder Berlin] , da es in Deutschland die Länder gibt .;;
571;(s103265_VROOT(SIMPX(VF(SIMPX-OS(KOORD(KON Doch))(VF-3s(NX-ON-nsm(ART-nsm der)(ADJX-nsm(ADJA-nsm entsprechende))(NN-nsm Paragraph)))(LK-VVFIN-3sks(VVFIN-HD-3sks(VVFIN-3sks stelle)))(MF(ADVX(ADV lediglich))(NX-OA(NX-KONJ-asn(ART-asn ein)(NN-asn Staatsziel))(KON und)(NX-KONJ-asn(PIAT-asn kein)(ADJX-asn(ADJA-asn einklagbares))(NN-asn Grundrecht))))(VC(PTKVZ dar))))($, ,)(LK-VVFIN-3pit(VVFIN-HD-3pit(VVFIN-3pit argumentierten)))(MF-3p(NX-ON-npm(ART-npm die)(NN-npm Richter))(ADVX(ADV gestern))))($. .));0,734903158066678;1;0;1;0;0;0;b+g;gapping;Doch der entsprechende Paragraph stelle lediglich ein Staatsziel und kein einklagbares Grundrecht dar , argumentierten die Richter gestern .;Doch der entsprechende Paragraph stelle lediglich ein Staatsziel und kein einklagbares Grundrecht dar , argumentierten die Richter gestern .;Doch der entsprechende Paragraph stelle lediglich ein Staatsziel und der_g entsprechende_g Paragraph_g stelle_g kein einklagbares Grundrecht dar , argumentierten die Richter gestern .;;
572;(s103943_VROOT(SIMPX(VF-3s(NX-ON(ADVX(ADV Erst))(NX-HD-nsf(ART-nsf die)(NN-nsf Verwirklichung))(NX(NX-HD-gpn(PIDAT-gpn beider)(NN-gpn Prinzipien))($D -)(NX(NX-KONJ-nsm(ADJX-nsm(ADJA-nsm fairer))(NN-nsm Wettbewerb))(KON und)(NX-KONJ-nsf(ART-nsf eine)(ADJX-nsf(ADJA-nsf soziale))(NN-nsf Politik))))))($D -)(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis schafft)))(MF(NX-OA(ART-asf eine)(ADJX-asf(ADJA-asf humane))(NX-HD(NX-KONJ(TRUNC Wirtschafts-))(KON und)(NX-KONJ-asf(NN-asf Gesellschaftsordnung))))))($. .));1;0;0;0;0;1;0;k+k;NP Koord in GA Apposition;Erst die Verwirklichung beider Prinzipien - fairer Wettbewerb und eine soziale Politik - schafft eine humane Wirtschafts- und Gesellschaftsordnung .;Erst die Verwirklichung beider Prinzipien - fairer Wettbewerb und eine soziale Politik - schafft eine humane Wirtschafts- und Gesellschaftsordnung .;Erst die Verwirklichung beider Prinzipien - [fairer Wettbewerb und eine soziale Politik] - schafft eine humane Wirtschafts- und Gesellschaftsordnung .;;
573;(s104349_VROOT(SIMPX(VF-3s(NX-ON-nsm(NN-nsm Abtreibungstourismus)))(LK-VMFIN-3sis(VMFIN-HD-3sis(VMFIN-3sis soll)))(VCFKOORD(VC-KONJ-VVPP(VVPP-OV(VVPP vermieden)))(KON und)(MFFKONJ-KONJ(MF(ADVX(PTKNEG nicht)))(VC-VAINF(VVPP-OV(VVPP gefördert))(VAINF-HD(VAINF werden)))))($, ,)(NF(CSIMPX(CKOU(KOUS damit))(MF-3s(NX-OA-as*3(PRF-as*3 sich))(NX-ON-nsf(ART-nsf die)(NN-nsf Frau))(ADVX(ADV auch))(ADJX(ADJD kurzfristig)))(VC-VMFIN-3sis(VVINF-OV(VVINF umentscheiden))(VMFIN-HD-3sis(VMFIN-3sis kann))))))($. .));0,860603140539282;1;1;1;0;0;0;b+fg;fg + bcr;Abtreibungstourismus soll vermieden und nicht gefördert werden , damit sich die Frau auch kurzfristig umentscheiden kann .;Abtreibungstourismus soll vermieden und Abtreibungstourismus_f soll_f nicht gefördert werden , damit sich die Frau auch kurzfristig umentscheiden kann .;Abtreibungstourismus soll vermieden werden_b und Abtreibungstourismus_fg soll_fg nicht gefördert werden , damit sich die Frau auch kurzfristig umentscheiden kann .;;
574;(s104459_VROOT(SIMPX(VF-3s(NX-ON-nsm(NE-nsm Sofri)))(LKFKOORD(LKFKONJ-KONJ(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis greift)))(VC(PTKVZ zurück))(NF(PX(PX(APPR-a in)(NX-HD-asf(ART-asf die)(NN-asf Vergangenheit)))($, ,)(PX(APPR-a in)(NX-HD(NX-KONJ-asf(NN-asf Geschichte))(KON und)(NX-KONJ-asm(NN-asm Mythos)))))))($, ,)(KON und)(LKFKONJ-KONJ(LK-VMFIN-3sis(VMFIN-HD-3sis(VMFIN-3sis will)))(MF(ADVX(ADV doch))(PX(APPR-a in)(NX-HD-asf(ART-asf die)(NN-asf Zukunft))))(VC-VVINF(VVINF-OV(VVINF weisen))))))($. .));0,6735797021228;0;1;1;0;1;0;fg+k;fg;Sofri greift zurück in die Vergangenheit , in Geschichte und Mythos , und will doch in die Zukunft weisen .;Sofri greift zurück in die Vergangenheit , in Geschichte und Mythos , und Sofri_f will doch in die Zukunft weisen .;Sofri greift zurück in die Vergangenheit , Sofri_fg greift_fg zurück_fg in [Geschichte und Mythos| , und Sofri_f will doch in die Zukunft weisen .;;
575;(s102674_VROOT(SIMPX(VF-3s(NX-ON-nsn(ART-nsn Das)(NN-nsn Hauptgesundheitsamt)))(LKFKOORD(LKFKONJ-KONJ(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(PX(APPR-d von)(NX-HD-dsf(ART-dsf der)(NN-dsf Behörde))))(VC-VAPP(VVPP-OV(VVPP gefragt))(VAPP-HD(VAPP worden))))(KON und)(LKFKONJ-KONJ(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis hat)))(MF(PX(APPR-d nach)(NX-HD-dsf(ART-dsf einer)(NN-dsf Prüfung)))(NX-OA-asn(PPOSAT-asn sein)(ADJX-asn(ADJA-asn grünes))(NN-asn Licht)))(VC-VVPP(VVPP-OV(VVPP gegeben))))))($. .));1;0;1;0;0;0;0;f;fcr;Das Hauptgesundheitsamt ist von der Behörde gefragt worden und hat nach einer Prüfung sein grünes Licht gegeben .;Das Hauptgesundheitsamt ist von der Behörde gefragt worden und das_f Hauptgesundheitsamt_f hat nach einer Prüfung sein grünes Licht gegeben .;Das Hauptgesundheitsamt ist von der Behörde gefragt worden und das_f Hauptgesundheitsamt_f hat nach einer Prüfung sein grünes Licht gegeben .;;
576;(s104330_VROOT(SIMPX(VF-3p(NX-ON(NX-HD-npm(ADJX-npm(ADJA-npm Zaghafte))(NN-npm Annäherungsversuche))($, ,)(CSIMPX(CKOU(KOUS wie))(MF-3p(NX-ON-np*3(PPER-np*3 sie))(NX-OA-ap*3(PRF-ap*3 sich))(PX(APPR-d gegenüber)(NX-HD(NX-KONJ-dpm(ART-dpm den)(NE-dpm USA))(KON und)(NX-KONJ-dsf(ART-dsf der)(NE-dsf EU)))))(VC-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis abzeichnen))))))($, ,)(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis werden)))(MF(PX(APPR-d mit)(NX-HD-dsn(NN-dsn Interesse))))(VC-VVPP(VVPP-OV(VVPP verfolgt))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Zaghafte Annäherungsversuche , wie sie sich gegenüber den USA und der EU abzeichnen , werden mit Interesse verfolgt .;Zaghafte Annäherungsversuche , wie sie sich gegenüber den USA und der EU abzeichnen , werden mit Interesse verfolgt .;Zaghafte Annäherungsversuche , wie sie sich gegenüber [den USA und der EU] abzeichnen , werden mit Interesse verfolgt .;;
577;(s99270_VROOT(SIMPX(VF(ADVX(ADV Auch)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis weist)))(MF-3s(NX-ON-nsm(ART-nsm der)(NN-nsm Rechner))(ADVX(PTKNEG nicht))(PX(PROP darauf)))(VC(PTKVZ hin))($, ,)(NF(CSIMPX(CKOU(KOUS daß))(MF-3s(NX-ON-ns*(PIS-ns* man))(PX(APPR-d zwischen)(NX-HD(NX-KONJ-dsm(NN-dsm Herd))(KON und)(NX-KONJ-dsf(NN-dsf Spüle))))(ADJX(ADJD besser))(ADVX(ADV noch))(NX-OA-asf(ART-asf eine)(NN-asf Abstellfläche)))(VC-VMFIN-3skt(VVINF-OV(VVINF planen))(VMFIN-HD-3skt(VMFIN-3skt sollte))))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Auch weist der Rechner nicht darauf hin , daß man zwischen Herd und Spüle besser noch eine Abstellfläche planen sollte .;Auch weist der Rechner nicht darauf hin , daß man zwischen Herd und Spüle besser noch eine Abstellfläche planen sollte .;Auch weist der Rechner nicht darauf hin , daß man zwischen [Herd und Spüle] besser noch eine Abstellfläche planen sollte .;;
578;"(s100445_VROOT($LPar "")(SIMPX(SIMPX-KONJ(VF-3s(NX-ON-nsn3(PPER-nsn3 Es)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis geht)))(MF(NX-OD-dsf3(PPER-dsf3 ihr))(ADVX(PTKNEG nicht))(ADJX(ADJX(ADJD extrem))(ADJD schlecht))))($, ,)(KON aber)(SIMPX-KONJ(VF-3s(NX-ON-nsf3(PPER-nsf3 sie)))(LKFKOORD(LKFKONJ-KONJ(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(ADJX(ADJX(ADJD dringend))(ADJD ruhebedürftig))))(KON und)(LKFKONJ-KONJ(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis schläft)))(MF(ADVX(ADV viel)))))))($. .)($RPar ""))";0,885214047544083;0;1;0;0;0;0;f;fcr;""" Es geht ihr nicht extrem schlecht , aber sie ist dringend ruhebedürftig und schläft viel . """;""" Es geht ihr nicht extrem schlecht , aber sie ist dringend ruhebedürftig und sie_f schläft viel . """;Es geht ihr nicht extrem schlecht , aber sie ist dringend ruhebedürftig und sie_f schläft viel .;;
579;(s100760_VROOT(SIMPX(C(ADVX(PWAV Wo)))(MFFKOORD(MFFKONJ-KONJ(MF-3s(NX-ON-ns*(PIS-ns* man))(NX-OA-asm(ART-asm den)(NN-asm Wodka))(PX(APPR-d in)(NX-HD-dpf(NN-dpf Flaschen))))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis bestellt))))(KON und)(MFFKONJ-KONJ(MF-3s(NX-ON-nsn3(PPER-nsn3 es))(PX(APPRART-dsf zur)(NX-HD-dsf(NX-dsf(NN-dsf happy))(NN-dsf hour)))(NX-OA-apf(ADJX(CARD fünf))(NN-apf Cola-Rum))(PX(APPR-a für)(NX-HD-asm(ART-asm einen)(NN-asm Zehner))))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gibt))))))($. .));0,860603140539282;0;0;0;1;0;0;s;sgf;Wo man den Wodka in Flaschen bestellt und es zur happy hour fünf Cola-Rum für einen Zehner gibt .;Wo man den Wodka in Flaschen bestellt und es zur happy hour fünf Cola-Rum für einen Zehner gibt .;Wo man den Wodka in Flaschen bestellt und wo_f es zur happy hour fünf Cola-Rum für einen Zehner gibt .;;
580;"(s101350_VROOT(SIMPX(SIMPX-KONJ(VF(NX-VMOD(CARD 1987)))(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit verzeichnete)))(MF-3s(NX-ON-nsf(ART-nsf die)(NN-nsf Polizei))(NX-OA(NX-HD-apm(ADJX(CARD 2396))(NN-apm Fälle))(PX(APPR-d von)(NX-HD(NX-KONJ-dsm(NN-dsm Drogenhandel))(KON und)(NX-KONJ-dsm(NN-dsm -mißbrauch)))))))($. ;)(SIMPX-KONJ(VF(NX-VMOD(CARD 1968)))(LK-VAFIN-3pit(VAFIN-HD-3pit(VAFIN-3pit waren)))(MF(NX-PRED-nsn3(PPER-nsn3 es))(ADVX(ADV nur))(NX-ON(ADJX(CARD 425))))(VC-VAPP(VAPP-OV(VAPP gewesen)))))($. .))";1;0;0;0;0;1;0;k;NP Koord PP;"1987 verzeichnete die Polizei 2396 Fälle von Drogenhandel und -mißbrauch ; 1968 waren es nur 425 gewesen .";"1987 verzeichnete die Polizei 2396 Fälle von Drogenhandel und -mißbrauch ; 1968 waren es nur 425 gewesen .";"1987 verzeichnete die Polizei 2396 Fälle von [Drogenhandel und -mißbrauch] ; 1968 waren es nur 425 gewesen .";;
581;(s99174_VROOT(SIMPX(SIMPX-KONJ(KOORD(KON Aber))(VF-3s(NX-ON(NX-HD-nsf(ART-nsf die)(NN-nsf Zahl))(NX(ART-gp* der)(NX-HD(NX-KONJ-gpm(NN-gpm Laster))(KON und)(NX-KONJ(NX-APP-gpn(NN-gpn Tuktuks))($, ,)(NX-APP-gpf(ART-gpf der)(ADJX-gpf(ADJA-gpf knattrigen))(NN-gpf Dreiradtaxen)))))))($, ,)(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis nimmt)))(VC(PTKVZ zu)))($, ,)(KON und)(SIMPX-KONJ(VF-3s(NX-ON-nsf(ART-nsf die)(NN-nsf Hondaisierung)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis schreitet)))(VC(PTKVZ voran))))($. .));0,794754518455557;0;0;0;0;1;0;k;NP Koord GA + Satz Koord;Aber die Zahl der Laster und Tuktuks , der knattrigen Dreiradtaxen , nimmt zu , und die Hondaisierung schreitet voran .;Aber die Zahl der Laster der_bcr knattrigen_bcr Dreiradtaxen_bcr und Tuktuks , der knattrigen Dreiradtaxen , nimmt zu , und die Hondaisierung schreitet voran .;Aber die Zahl der Laster und Tuktuks , der knattrigen Dreiradtaxen , nimmt zu , und die Hondaisierung schreitet voran .;;
582;(s101929_VROOT(SIMPXINT(VF(ADJX(PWAV Wie)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis heißt)))(MF-3s(NX-ON(NX-HD-nsn(ART-nsn das)(NN-nsn Gerät))(PX(APPR-d mit)(NX-HD(NX-KONJ-dsm(NN-dsm Holzgriff))(KON und)(NX-KONJ-dsm(ART-dsm dem)(ADJX-dsm(ADJA-dsm dunkelroten))(NN-dsm Gummistopfen))))))($, ,)(NF(RSIMPX(C(PX(APPR-d mit)(NX-HD-dsf(PRELAT-gsn dessen)(NN-dsf Hilfe))))(MF-3s(NX-ON-ns*(PIS-ns* man))(NX-OA-apm(NN-apm Abflüsse)))(VC-VMFIN-3sis(VVINF-OV(VVINF reinigen))(VMFIN-HD-3sis(VMFIN-3sis kann))))))($QM ?));1;0;0;0;0;1;0;k;NP Koord PP;Wie heißt das Gerät mit Holzgriff und dem dunkelroten Gummistopfen , mit dessen Hilfe man Abflüsse reinigen kann ?;Wie heißt das Gerät mit Holzgriff und dem dunkelroten Gummistopfen , mit dessen Hilfe man Abflüsse reinigen kann ?;Wie heißt das Gerät mit [Holzgriff und dem dunkelroten Gummistopfen] , mit dessen Hilfe man Abflüsse reinigen kann ?;;
583;(s103414_VROOT(SIMPX(VF-3s(NX-ON-nsm3(PPER-nsm3 Er)))(LK-VMFIN-3sis(VMFIN-HD-3sis(VMFIN-3sis soll)))(VC-VAINF(VVPP-OV(VVPP vorgehabt))(VAINF-HD(VAINF haben)))($, ,)(NF(SIMPX-OS(SIMPX-KONJ(MF(NX-OA-asm(ART-asm den)(NN-asm Regisseur))(PX(APPR-d vor)(NX-HD(NX-HD-dpn(ART-dpn den)(NN-dpn Augen))(NX-gsf(PPOSAT-gsf seiner)(NN-gsf Frau))))(PX(APPR-a in)(NX-HD-apf(NN-apf Handschellen))))(VC-PTKZU(PTKZU-HD(PTKZU zu)(VVINF legen))))(KON und)(SIMPX-KONJ(VC-PTKZU(PTKZU-HD(PTKZU zu)(VVINF vergewaltigen)))))))($. .));0,519052515660736;0;1;1;0;0;0;fg;fg;Er soll vorgehabt haben , den Regisseur vor den Augen seiner Frau in Handschellen zu legen und zu vergewaltigen .;Er soll vorgehabt haben , er_f soll_f den Regisseur vor den Augen seiner Frau in Handschellen zu legen und zu vergewaltigen vorgehabt_g haben_g .;Er soll vorgehabt haben , den Regisseur vor den Augen seiner Frau in Handschellen zu legen und er_fg soll_fg vorgehabt_fg haben_fg , den_fg Regisseur_fg vor_fg den_fg Augen_fg seiner_fg Frau_fg zu vergewaltigen .;;
584;(s104034_VROOT(SIMPX(SIMPX-KONJ(LK-VVIMP-s(VVIMP-HD-s(VVIMP-s Verstecke)))(MF(NX-OA-as*2(PRF-as*2 dich))(ADVX(PTKNEG nicht))(ADJX(ADJD länger))))($, ,)(SIMPX-KONJ(LK-VVIMP-s(VVIMP-HD-s(VVIMP-s stell)))(MF(NX-OA-as*2(PRF-as*2 dich))(NX-OD-dsn(ART-dsn dem)(NN-dsn Chaos))))($, ,)(SIMPX-KONJ(LK-VVIMP-s(VVIMP-HD-s(VVIMP-s nimm)))(MF(NX-OA-asn3(PPER-asn3 `s))(PX(APPR-d mit)(NX-HD-dsm(NN-dsm Humor)))))($, ,)(SIMPX-KONJ(LK-VVIMP-s(VVIMP-HD-s(VVIMP-s packe)))(MF(NX-OA-asn3(PPER-asn3 es)))(VC(PTKVZ an))))($. .));1;0;0;0;0;0;1;-;Satz Koord;Verstecke dich nicht länger , stell dich dem Chaos , nimm `s mit Humor , packe es an .;Verstecke dich nicht länger , stell dich dem Chaos , nimm `s mit Humor , packe es an .;Verstecke dich nicht länger , stell dich dem Chaos , nimm `s mit Humor , packe es an .;;
585;(s99942_VROOT(SIMPX(VF(NX-OD-dsm(NE-dsm Hoddle)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(NX-ONMOD-nsn3(PPER-nsn3 es)))(VC-VVPP(VVPP-OV(VVPP gelungen)))($, ,)(NF(SIMPX-ON(MF(NX-OA(NX-HD-apf(NN-apf Tugenden))(NX(KOKOM wie)(NX-HD(NX-KONJ-asf(NN-asf Kampfkraft))($, ,)(NX-KONJ-asm(NN-asm Wille))(KON und)(NX-KONJ-asf(NN-asf Einsatzbereitschaft)))))(PX(APPR-d mit)(NX-HD-dsf(ADJX-dsf(ADVX(ADV lange))(ADJA-dsf vermißter))(NN-dsf Raffinesse))))(VC-PTKZU(PTKZU-HD(PTKZU zu)(VVINF kombinieren))))))($. .));0,813748937097496;0;0;0;0;1;0;k;NP Koord Appoisition;Hoddle ist es gelungen , Tugenden wie Kampfkraft , Wille und Einsatzbereitschaft mit lange vermißter Raffinesse zu kombinieren .;Hoddle ist es gelungen zu_g kombinieren_g , Tugenden wie Kampfkraft , Wille und Einsatzbereitschaft mit lange vermißter Raffinesse zu kombinieren .;Hoddle ist es gelungen , Tugenden wie [Kampfkraft , Wille und Einsatzbereitschaft] mit lange vermißter Raffinesse zu kombinieren .;;
586;"(s100749_VROOT($LPar "")(SIMPX(SIMPX-KONJ(VF-3s(NX-ON-nsn(PDS-nsn Das)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis gefällt)))(MF(NX-OD-dpn(PPOSAT-dpn meinen)(NN-dpn Kindern))(ADVX(PTKNEG nicht))))($, ,)(KON aber)(SIMPX-KONJ(SIMPX-KONJ(VF-3s(NX-ON-nsm(ART-nsm der)(NN-nsm Große)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(NX-PRED(CARD 15))))($, ,)(SIMPX-KONJ(VF-3s(NX-ON-nsm(PDS-nsm der)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis braucht)))(MF(NX-OA-asf(ART-asf 'ne)(NN-asf Lehrstelle))))))($. .)($RPar ""))";0,885214047544083;0;0;0;0;0;1;-;satz Koord;""" Das gefällt meinen Kindern nicht , aber der Große ist 15 , der braucht 'ne Lehrstelle . """;""" Das gefällt meinen Kindern nicht , aber der Große ist 15 , der braucht 'ne Lehrstelle . """;Das gefällt meinen Kindern nicht , aber der Große ist 15 , der braucht 'ne Lehrstelle .;;
