Sent_no;Original sentence;Comments;Canonical form;gold2 (LCO);General order of re-inspection;FCR;Gapping;FG;BCR;SGF;Sentence Length
s23912;Auf die Zeichnerin und Illustratorin wies Erika Klüsener in ihrem Einleitungsreferat hin und hielt der Kunstgeschichte vor , sich nicht genug um die Interpretation der Zeichnungen und Collagen gekümmert zu haben . ;;Auf die Zeichnerin und Illustratorin wies Erika Klüsener in ihrem Einleitungsreferat hin und Erika_s Klüsener_s  hielt der Kunstgeschichte vor , sich nicht genug um die Interpretation der Zeichnungen und Collagen gekümmert zu haben . ;;;0;0;0;0;1;32
s37050;Auf diesem Gebiet fahren die Dortmunder seit langem Verlust ein und reduzieren die Belegschaft . ;;Auf diesem Gebiet fahren die Dortmunder seit langem Verlust ein und die_s Dortmunder_s reduzieren die Belegschaft . ;;;0;0;0;0;1;15
s15310;Auf Drängen des SPD-Fraktionsvorsitzenden Klaus Matthiesen schrieb sie einen Brief an den Ministerpräsidenten , in dem sie zwar bei ihrem Vorwort blieb , sich vom Begleittext aber vorsichtig distanzierte : Soweit dieser Text `` verletztende Angriffe '' auf einzelne Politiker enthalte , lege sie Wert auf die Feststellung , daß sie sich `` diese Äußerungen '' nicht zu eigen gemacht habe . ;;Auf Drängen des SPD-Fraktionsvorsitzenden Klaus Matthiesen schrieb sie einen Brief an den Ministerpräsidenten , in dem sie zwar bei ihrem Vorwort blieb ,  in_f dem_f sie_f sich vom Begleittext aber vorsichtig distanzierte : Soweit dieser Text `` verletztende Angriffe '' auf einzelne Politiker enthalte , lege sie Wert auf die Feststellung , daß sie sich `` diese Äußerungen '' nicht zu eigen gemacht habe . ;;;1;0;0;0;0;62
s38891;Auf drei Stockwerken kann dort jedermann besichtigen , wie die Agenda 21 der Rio-Umweltkonferenz sowie gesundes kaufmännisches Kalkül eine Ehe eingehen und allerlei Innovationen gebären . ;;Auf drei Stockwerken kann dort jedermann besichtigen , wie die Agenda 21 der Rio-Umweltkonferenz sowie gesundes kaufmännisches Kalkül eine Ehe eingehen und wie_f die_f Agenda_f 21_f der_f Rio-Umweltkonferenz_f sowie_f gesundes_f kaufmännisches_f Kalkül_f allerlei Innovationen gebären . ;;;1;0;0;0;0;26
s23715;Auf einer Pressekonferenz in Bonn prangerten sie am Dienstag den `` Terror '' der algerischen Führung an und appellierten an die Europäische Union ( EU ) , ihr `` Schweigen '' zu Menschenrechtsverstößen zu beenden . ;;Auf einer Pressekonferenz in Bonn prangerten sie am Dienstag den `` Terror '' der algerischen Führung an und sie_s appellierten an die Europäische Union ( EU ) , ihr `` Schweigen '' zu Menschenrechtsverstößen zu beenden . ;;;0;0;0;0;1;36
s25457;Auf erotische Weise setzt sich der Künstler in seinen Werken `` Suppensinfonie '' und `` Leipziger Allerlei '' mit dem Thema Essen auseinander , stellt Krebse in Dill sowie Sauerkraut und Würstchen aus seiner Sicht dar . ;;Auf erotische Weise setzt sich der Künstler in seinen Werken `` Suppensinfonie '' und `` Leipziger Allerlei '' mit dem Thema Essen auseinander , der_s Künstler_s stellt Krebse in Dill sowie Sauerkraut und Würstchen aus seiner Sicht dar . ;;;0;0;0;0;1;37
s31918;Auf jedem Hügel spreizt eine ihre aufgedonnerten Azulejofassaden oder winkt mit geschnörkelten Turmfingern . ;;Auf jedem Hügel spreizt eine ihre aufgedonnerten Azulejofassaden oder eine_s winkt mit geschnörkelten Turmfingern . ;;;0;0;0;0;1;14
s15852;Auf über 15 000 Seiten schildern Zeitzeugen , beschreiben und analysieren Fachleute Funktion und Wirkung der SED-Herrschaft in der DDR . ;;Auf über 15 000 Seiten schildern Zeitzeugen Funktion_b und_b Wirkung_b der_b SED-Herrschaft_b in_b der_b DDR_b , auf_f über_f 15_f 000_f Seiten_f beschreiben Fachleute_b Funktion_b und_b Wirkung_b der_b SED-Herrschaft_b in_b der_b DDR_b und auf_f über_f 15_f 000_f Seiten_f analysieren Fachleute Funktion und Wirkung der SED-Herrschaft in der DDR . ;;;1;0;0;1;0;21
s46368;Auf unabsehbare Zeit werden die Insassen nachts immer wieder im Schlaf aufschrecken und aufschreien . ;;Auf unabsehbare Zeit werden die Insassen nachts immer wieder im Schlaf aufschrecken und auf_fg unabsehbare_fg Zeit_fg werden_fg die_fg Insassen_fg nachts_fg immer_fg wieder_fg aufschreien . ;Auf unabsehbare Zeit werden die Insassen nachts immer wieder im Schlaf aufschrecken und aufschreien . ;;0;0;1;0;0;15
s4275;Aufgrund der großen Empfindlichkeit der Fresken wird die Zahl der Besucher täglich auf 150 und deren Aufenthaltsdauer auf zehn Minuten begrenzt . ;FG+BCR MAIN;Aufgrund der großen Empfindlichkeit der Fresken wird die Zahl der Besucher täglich auf 150 begrenzt_b und aufgrund_fg der_fg großen_fg Empfindlichkeit_fg der_fg Fresken_fg wird_fg deren Aufenthaltsdauer auf zehn Minuten begrenzt . ;;;0;0;1;1;0;22
s45915;Aufgrund seiner liberalisierten Finanzgesetze sog der Finanzplatz Luxemburg seit den 50er Jahren die verschiedensten , international vagabundierenden Gelder an , z. B. zunächst die nicht sofort investierten Kredite des Marshall-Plans und andere Dollarmengen ( `` Eurodollar '' ) , dann die `` Petro-Dollars '' der OPEC-Staaten , dann auch Schwarzgelder aus Billigflaggen- , Drogen- , Rüstungs- und Schwarzmarktgeschäften , schließlich die Vermögensanlagen der zahlungskräftigen , internationalen `` Privatkunden '' . ;;Aufgrund seiner liberalisierten Finanzgesetze sog der Finanzplatz Luxemburg seit den 50er Jahren die verschiedensten , international vagabundierenden Gelder an , aufgrund_g seiner_g liberalisierten_g Finanzgesetze_g sog_g der_g Finanzplatz_g Luxemburg_g seit_g den_g 50er_g Jahren_g  z. B. zunächst die nicht sofort investierten Kredite des Marshall-Plans und andere Dollarmengen ( `` Eurodollar '' ) an_g , dann sog_g der_g Finanzplatz_g Luxemburg_g aufgrund_g seiner_g liberalisierten_g Finanzgesetze_g  seit_g den_g 50er_g Jahren_g die `` Petro-Dollars '' der OPEC-Staaten an_g , dann sog_g der_g Finanzplatz_g Luxemburg_g aufgrund_g seiner_g liberalisierten_g Finanzgesetze_g  seit_g den_g 50er_g Jahren_g auch Schwarzgelder aus Billigflaggen- , Drogen- , Rüstungs- und Schwarzmarktgeschäften an_g , schließlich sog_g der_g Finanzplatz_g Luxemburg_g aufgrund_g seiner_g liberalisierten_g Finanzgesetze_g  seit_g den_g 50er_g Jahren_g die Vermögensanlagen der zahlungskräftigen , internationalen `` Privatkunden '' an_g . ;;;0;1;0;0;0;70
s38806;Aufgrund starker Nachfrage wurde der Emissionspreis der Aktien von Beta Systems auf 100 Mark festgelegt und damit die Bookbuilding-Spanne ausgereizt . ;;Aufgrund starker Nachfrage wurde der Emissionspreis der Aktien von Beta Systems auf 100 Mark festgelegt und damit wurde_g die Bookbuilding-Spanne ausgereizt . ;;;0;1;0;0;0;21
s14359;Auftrieb haben den Atomtestgegnern Königin Elizabeth II. und der Herzog von Edinburgh gegeben , die sich derzeit in Neuseeland aufhalten und ihre Unterstützung für die Kampagne gegen die französischen Atomversuche zum Ausdruck gebracht haben . ;;Auftrieb haben den Atomtestgegnern Königin Elizabeth II. und der Herzog von Edinburgh gegeben , die sich derzeit in Neuseeland aufhalten und die_f ihre Unterstützung für die Kampagne gegen die französischen Atomversuche zum Ausdruck gebracht haben . ;;;1;0;0;0;0;35
s18556;August , ehemals Personalchef eines mittelständischen Unternehmens und heute Pfleger , trägt auch zum 100. Mal die Behinderten aus dem Bus und setzt sie behutsam in ihre Rollstühle . ;;August , ehemals Personalchef eines mittelständischen Unternehmens und heute Pfleger , trägt auch zum 100. Mal die Behinderten aus dem Bus und August_f ,_f ehemals_f Personalchef_f eines_f mittelständischen_f Unternehmens_f und_f heute_f Pfleger_f ,_f setzt sie behutsam in ihre Rollstühle . ;August , ehemals Personalchef eines mittelständischen Unternehmens und heute Pfleger , trägt auch zum 100. Mal die Behinderten aus dem Bus und August_f  setzt sie behutsam in ihre Rollstühle . ;;1;0;0;0;0;29
s40836;Aus den Wertpapier- und anderen Finanzgeschäften auf eigene Rechnung holte die Vereinsbank als Nummer vier der privaten Geldbranche von Januar bis Juni 197 ( 192 ) Millionen und damit trotz der traumhaften Börsenentwicklung nicht viel mehr als in der Vorjahreszeit . ;;Aus den Wertpapier- und anderen Finanzgeschäften auf eigene Rechnung holte die Vereinsbank als Nummer vier der privaten Geldbranche von Januar bis Juni 197 ( 192 ) Millionen und aus_fg den_fg Wertpapier-_fg und_fg anderen_fg Finanzgeschäften_fg auf_fg eigene_fg Rechnung_fg holte_fg die_fg Vereinsbank_fg als_fg Nummer_fg vier_fg der_fg privaten_fg Geldbranche_fg  damit trotz der traumhaften Börsenentwicklung nicht viel mehr als in der Vorjahreszeit . ;;;0;0;1;0;0;41
s21502;Aus einem Leck im Turbinensystem war nach Angaben der Betreiber Öl ausgetreten und hatte sich entzündet . ;;Aus einem Leck im Turbinensystem war nach Angaben der Betreiber Öl ausgetreten und Öl_s hatte sich entzündet . ;;;0;0;0;0;1;17
s7294;Aus einer simplen Vorgabe - halbwüchsige Tochter fährt nach Streit mit den Eltern aus der Provinz in die Großstadt , macht ernüchternde Erfahrungen und kehrt nach Hause zurück - zaubert er eine Komödie , die an Erfindungsreichtum , Rhythmus und zündendem Witz ihresgleichen sucht , und das nicht nur im deutschen Film . ;;Aus einer simplen Vorgabe - halbwüchsige Tochter fährt nach Streit mit den Eltern aus der Provinz in die Großstadt , halbwüchsige_f Tochter_f macht ernüchternde Erfahrungen und halbwüchsige_f Tochter_f kehrt nach Hause zurück - zaubert er eine Komödie , die an Erfindungsreichtum , Rhythmus und zündendem Witz ihresgleichen sucht , und die_g das nicht nur im deutschen Film sucht_g . ;;;1;1;0;0;0;53
s3897;Ausdruck des `` finanzpolitischen Zickzack-Kurses '' sei , daß die Bundesregierung noch im Mai jede Steuererhöhung zurückgewiesen habe , nun aber eine Anhebung der Mineralölsteuer , eine neue Autobahngebühr und eine weitere Sonderabgabe plane , wie der Spiegel in seiner neuesten Ausgabe berichtete . ;;Ausdruck des `` finanzpolitischen Zickzack-Kurses '' sei , daß die Bundesregierung noch im Mai jede Steuererhöhung zurückgewiesen habe , daß_f die_f Bundesregierung_f  nun aber eine Anhebung der Mineralölsteuer , eine neue Autobahngebühr und eine weitere Sonderabgabe plane , wie der Spiegel in seiner neuesten Ausgabe berichtete . ;Ausdruck des `` finanzpolitischen Zickzack-Kurses '' sei , daß die Bundesregierung noch im Mai jede Steuererhöhung zurückgewiesen habe , daß_f die_f Bundesregierung_f  nun aber eine Anhebung der Mineralölsteuer plane_b , daß_f die_f Bundesregierung_f  nun_f aber_f eine neue Autobahngebühr plane_b und daß_f die_f Bundesregierung_f  nun_f aber_f eine weitere Sonderabgabe plane , wie der Spiegel in seiner neuesten Ausgabe berichtete . ;;1;0;0;0;0;44
s50252;Ausgesonderte Pferde bleiben - von niemandem betreut und versorgt - in Rcepin , bis der Transporteur aus Frankreich zurückkehrt . ;;Ausgesonderte Pferde bleiben - von niemandem betreut und  von_f niemandem_f versorgt - in Rcepin , bis der Transporteur aus Frankreich zurückkehrt . ;Ausgesonderte Pferde bleiben - von niemandem betreut und versorgt - in Rcepin , bis der Transporteur aus Frankreich zurückkehrt . ;;1;0;0;0;0;20
s43616;Ausländische Unternehmen dürften vom kommenden Jahr an 50 und von 1999 an 55 Prozent der Anteile börsennotierter südkoreanischer Firmen kaufen . ;;Ausländische Unternehmen dürften vom kommenden Jahr an 50 Prozent_b der_b Anteile_b börsennotierter_b südkoreanischer_b Firmen_b kaufen_b und von 1999 an dürften_g  ausländische_g Unternehmen_g 55 Prozent der Anteile börsennotierter südkoreanischer Firmen kaufen . ;;;0;1;0;1;0;21
s24470;Außerdem begrüßen sie die ersatzlose Beseitigung des `` Kohlepfennigs '' und sind für eine Beseitigung der Verstromungssubventionen ab dem Jahr 2006 und der Kokskohlenbeihilfen ab 2001 . ;;Außerdem begrüßen sie die ersatzlose Beseitigung des `` Kohlepfennigs '' und sie_s sind für eine Beseitigung der Verstromungssubventionen ab dem Jahr 2006 und der Kokskohlenbeihilfen ab 2001 . ;;;0;0;0;0;1;27
s10282;Außerdem beklagt die Kommission , daß von der Politik zwar häufig die `` Vorrangigkeit einer wirksamen Bekämpfung der Fluchtursachen beteuert '' werde , daß jedoch Zweifel angebracht seien , `` ob die Bundesregierung und andere Regierungen notwendige Schritte unternehmen , um Menschenrechtsverletzungen entgegenzuwirken und damit asylrelevante Fluchtgründe zu minimieren '' . ;gold2: plural???;Außerdem beklagt die Kommission , daß von der Politik zwar häufig die `` Vorrangigkeit einer wirksamen Bekämpfung der Fluchtursachen beteuert '' werde , daß jedoch Zweifel angebracht seien , `` ob die Bundesregierung und andere Regierungen notwendige Schritte unternehmen , um Menschenrechtsverletzungen entgegenzuwirken und um_f damit asylrelevante Fluchtgründe zu minimieren '' . ;Außerdem beklagt die Kommission , daß von der Politik zwar häufig die `` Vorrangigkeit einer wirksamen Bekämpfung der Fluchtursachen beteuert '' werde , daß jedoch Zweifel angebracht seien , `` ob die Bundesregierung notwendige_b Schritte_b unternimmt_b und ob_f andere Regierungen notwendige Schritte unternehmen , um Menschenrechtsverletzungen entgegenzuwirken und um_f damit asylrelevante Fluchtgründe zu minimieren '' . ;;1;0;0;0;0;51
s38100;Außerdem bietet das Unternehmen 200 Jugendlichen ein 18-monatiges Praktikum zur Berufsvorbereitung und 300 Hochschulabsolventen einen Jahresvertrag . ;;Außerdem bietet das Unternehmen 200 Jugendlichen ein 18-monatiges Praktikum zur Berufsvorbereitung und außerdem_fg bietet_fg das_fg Unternehmen_fg 300 Hochschulabsolventen einen Jahresvertrag . ;;;0;0;1;0;0;17
s37022;Außerdem gehen die Auguren davon aus , daß sich der Dollarkurs über der Schwelle von 1,70 Mark stabilisiert und bis zur Festlegung der Teilnehmerstaaten am Europäischen Währungssystem Anfang Mai eher noch an Wert gewinnt . ;;Außerdem gehen die Auguren davon aus , daß sich der Dollarkurs über der Schwelle von 1,70 Mark stabilisiert und daß_f der_f Dollarkurs_f bis zur Festlegung der Teilnehmerstaaten am Europäischen Währungssystem Anfang Mai eher noch an Wert gewinnt . ;;;1;0;0;0;0;35
s44300;Außerdem sei der im Dezember fällige Bedarfsbericht seit kurzem `` in der Zuleitung '' , dürfte den Parlamentariern also Ende März vorliegen . ;;Außerdem sei der im Dezember fällige Bedarfsbericht seit kurzem `` in der Zuleitung '' , der_s im_s Dezember_s fällige_s Bedarfsbericht_s dürfte den Parlamentariern also Ende März vorliegen . ;;;0;0;0;0;1;23
s46304;Außerdem sind die bemerkenswertesten argentinischen Beiträge unabhängig von diesem üppigen Förderungssystem produziert worden und haben auch nur einen Bruchteil der Durchschnittskosten von etwa zwei Millionen Mark benötigt . ;;Außerdem sind die bemerkenswertesten argentinischen Beiträge unabhängig von diesem üppigen Förderungssystem produziert worden und die_s bemerkenswertesten_s argentinischen_s Beiträge_s haben auch nur einen Bruchteil der Durchschnittskosten von etwa zwei Millionen Mark benötigt . ;;;0;0;0;0;1;28
s18678;Außerdem verdächtigen die Ankläger mehrere Konzerne , darunter auch Daewoo , Geld für den Ex-Präsidenten gewaschen oder verborgen zu haben . ;;Außerdem verdächtigen die Ankläger mehrere Konzerne , darunter auch Daewoo , Geld für den Ex-Präsidenten gewaschen  zu_b haben_b oder Geld_f für_f den_f Ex-Präsidenten_f   verborgen zu haben . ;Außerdem verdächtigen die Ankläger mehrere Konzerne , darunter auch Daewoo , Geld für den Ex-Präsidenten gewaschen oder verborgen zu haben . ;;1;0;0;1;0;21
s30070;Außerdem will Stark das Controlling insgesamt verstärken und qualitativ verbessern sowie die Verwaltung straffen . ;;Außerdem will Stark das Controlling insgesamt verstärken und außerdem_fg will_fg Stark_fg das_fg Controlling_fg qualitativ verbessern sowie die Verwaltung straffen will_g Stark_g . ;Außerdem will Stark das Controlling insgesamt verstärken und qualitativ verbessern sowie die Verwaltung straffen . ;;0;1;1;0;0;15
s9181;Baj hatte außer den generali ( die der Zensur zum Trotz oder vielmehr gerade ihretwegen international Furore machten ) eine Serie von Collagen ausgestellt , die barbusige Softporno-Schönheiten in der sanften Gewalt extraterrestrischer Art-brut-Monster zeigte - Italien wurde gerade von einer medialen Massenhysterie durchschauert , die einem beträchtlichen Teil der Leichtgläubigen unter den Gläubigen den erregenden Schrecken suggerierte , von Außerirdischen entführt und vergewaltigt worden zu sein . ;;Baj hatte außer den generali ( die der Zensur zum Trotz international_b Furore_b machten_b oder  die_f vielmehr gerade ihretwegen international Furore machten ) eine Serie von Collagen ausgestellt , die barbusige Softporno-Schönheiten in der sanften Gewalt extraterrestrischer Art-brut-Monster zeigte - Italien wurde gerade von einer medialen Massenhysterie durchschauert , die einem beträchtlichen Teil der Leichtgläubigen unter den Gläubigen den erregenden Schrecken suggerierte , von Außerirdischen entführt  worden_b zu_b sein_b  und von_f Außerirdischen_f  vergewaltigt worden zu sein . ;;;1;0;0;1;0;68
s45900;Banken zahlen , alle einschlägigen Steuern zusammengerechnet , in Deutschland 48 Prozent , in Belgien , Holland , Frankreich und wie bisher in Luxemburg 40 Prozent , in London / Großbritannien 33 Prozent , schließlich in Dublin / Irland 10 Prozent . ;bcr not maximum??;Banken zahlen , alle einschlägigen Steuern zusammengerechnet , in Deutschland 48 Prozent , Banken_fg zahlen_fg ,_fg alle_fg einschlägigen_fg Steuern_fg zusammengerechnet_fg ,_fg in Belgien , Holland , Frankreich und wie bisher in Luxemburg 40 Prozent , Banken_fg zahlen_fg ,_fg alle_fg einschlägigen_fg Steuern_fg zusammengerechnet_fg ,_fg  in London / Großbritannien 33 Prozent , schließlich zahlen_g  Banken_g ,_g alle_g einschlägigen_g Steuern_g zusammengerechnet_g ,_g  in Dublin / Irland 10 Prozent . ;;;0;1;1;0;0;42
s49121;Bao Bao ( zu deutsch : Schätzchen , männlich ) ist Berlins Pandabär , und Yan Yan ( zu deutsch : die Niedliche , weiblich ) seine `` Gefährtin '' ( FAZ ) . ;;Bao Bao ( zu deutsch : Schätzchen , männlich ) ist Berlins Pandabär , und Yan Yan ( zu deutsch : die Niedliche , weiblich ) ist_g seine `` Gefährtin '' ( FAZ ) . ;;;0;1;0;0;0;34
s39622;Barnevik blieb ABB-Aufsichtsratschef , stieg als erster Nicht-Amerikaner in den Vorstand von General Motors ein und hatte auch in Schweden eine Reihe weiterer Vertrauensposten . ;;Barnevik blieb ABB-Aufsichtsratschef , Barnevik_f stieg als erster Nicht-Amerikaner in den Vorstand von General Motors ein und Barnevik_f hatte auch in Schweden eine Reihe weiterer Vertrauensposten . ;;;1;0;0;0;0;25
s39627;Barnevik hingegen zählt seit langem zu den engagiertesten Teilnehmern an Schwedens Gesellschaftsdebatte und trug als solcher entscheidend zum schwedischen Ja zur Europäischen Union bei . ;;Barnevik hingegen zählt seit langem zu den engagiertesten Teilnehmern an Schwedens Gesellschaftsdebatte und Barnevik_f hingegen_f  trug als solcher entscheidend zum schwedischen Ja zur Europäischen Union bei . ;;;1;0;0;0;0;25
s28710;Baumann weiß , worauf es den Leuten ankommt - und umgekehrt wissen diese , daß ihr langjähriger Betriebsleiter schon vor der Wende 1989 einiges anders handhaben wollte , aber unter den damaligen Umständen nicht konnte . ;;Baumann weiß , worauf es den Leuten ankommt - und umgekehrt wissen diese , daß ihr langjähriger Betriebsleiter schon vor der Wende 1989 einiges anders handhaben wollte , aber daß_g ihr_g langjähriger_g Betriebsleiter_g  unter den damaligen Umständen einiges_g  nicht anders_g handhaben_g konnte . ;;;0;1;0;0;0;36
s29820;Bayer ist mit der Rendite seines Ablegers unzufrieden und tritt beim Personal auf die Bremse . ;;Bayer ist mit der Rendite seines Ablegers unzufrieden und Bayer_f tritt beim Personal auf die Bremse . ;Bayer ist mit der Rendite seines Ablegers unzufrieden und tritt beim Personal auf die Bremse . ;;1;0;0;0;0;16
s48308;Beduinenkinder schleppen weiße Zicklein heran und fordern `` Soldi '' . ;;Beduinenkinder schleppen weiße Zicklein heran und Beduinenkinder_f fordern `` Soldi '' . ;Beduinenkinder schleppen weiße Zicklein heran und fordern `` Soldi '' . ;;1;0;0;0;0;11
s4764;Befragt , ob er noch den Presbyterianern angehöre , nicht trinke , nicht rauche , regelmäßig in die Kirche gehe , lacht er . ;;Befragt , ob er noch den Presbyterianern angehöre , ob_f er_f nicht trinke , ob_f er_f nicht rauche , ob_f er_f  regelmäßig in die Kirche gehe , lacht er . ;Befragt , ob er noch den Presbyterianern angehöre , nicht trinke , nicht rauche , regelmäßig in die Kirche gehe , lacht er . ;;1;0;0;0;0;24
s7687;Befremden könnte sie auch deshalb , weil Mortier sich immer wieder gegen überhöhte Künstlergagen ausgesprochen hatte und an seinen Wirkungsstätten bestrebt war , solchen Trends entgegenzuwirken . ;;Befremden könnte sie auch deshalb , weil Mortier sich immer wieder gegen überhöhte Künstlergagen ausgesprochen hatte und weil_f Mortier_f an seinen Wirkungsstätten bestrebt war , solchen Trends entgegenzuwirken . ;;;1;0;0;0;0;27
s14706;Begründung : Es widerspreche der Lebenserfahrung , daß Malerarbeiten an der Tür vergeben und diese sofort ausgeführt werden . ;;Begründung : Es widerspreche der Lebenserfahrung , daß Malerarbeiten an der Tür vergeben werden_b und daß_f diese sofort ausgeführt werden . ;;;1;0;0;1;0;19
s30065;Bei Barmag wird für Kunststoffmaschinen ein Partner gesucht und die Hydraulik-Sparte verkauft . ;;Bei Barmag wird für Kunststoffmaschinen ein Partner gesucht und bei_fg Barmag_fg wird_fg die Hydraulik-Sparte verkauft . ;Bei Barmag wird für Kunststoffmaschinen ein Partner gesucht und die Hydraulik-Sparte verkauft . ;;0;0;1;0;0;13
s2078;Bei dem Anschlag durch eine Autobombe in der Nähe der Stadt Sulejmanijah wurden nach Angaben von UN-Vertretern vier Menschen getötet und 14 verletzt . ;;Bei dem Anschlag durch eine Autobombe in der Nähe der Stadt Sulejmanijah wurden nach Angaben von UN-Vertretern vier Menschen getötet und bei_fg dem_fg Anschlag_fg durch_fg eine_fg Autobombe_fg in_fg der_fg Nähe_fg der_fg Stadt_fg Sulejmanijah_fg wurden_fg nach_fg Angaben_fg von_fg UN-Vertretern_fg 14 verletzt . ;;;0;0;1;0;0;24
s22865;Bei dem Attentat waren acht Gläubige getötet und mehr als 100 verletzt worden . ;;Bei dem Attentat waren acht Gläubige getötet worden_b und bei_fg dem_fg Attentat_fg waren_fg mehr als 100 verletzt worden . ;;;0;0;1;1;0;14
s45607;Bei dem Attentat waren mindestens 33 Reisende getötet und Dutzende verletzt worden . ;;Bei dem Attentat waren mindestens 33 Reisende getötet worden_b und bei_fg dem_fg Attentat_fg waren_fg Dutzende verletzt worden . ;;;0;0;1;1;0;13
s21423;Bei dem Sprengstoffanschlag auf ein Regierungsgebäude waren am 19. April 169 Menschen getötet und 500 weitere verletzt worden . ;;Bei dem Sprengstoffanschlag auf ein Regierungsgebäude waren am 19. April 169 Menschen getötet worden_b und bei_fg dem_fg Sprengstoffanschlag_fg auf_fg ein_fg Regierungsgebäude_fg waren_fg am_fg 19._fg April_fg 500 weitere verletzt worden . ;;;0;0;1;1;0;19
s27473;Bei den Bahncards ändert sich nichts , auch nicht beim Guten-Abend-Ticket , während die persönliche Jahresnetzkarte sogar um rund sechs Prozent billiger kommt . ;;Bei den Bahncards ändert sich nichts , auch nicht beim Guten-Abend-Ticket  ändert_g sich_g nichts_g , während die persönliche Jahresnetzkarte sogar um rund sechs Prozent billiger kommt . ;;;0;1;0;0;0;24
s6873;"Bei den einen war Irritation , bei den anderen Häme zu vernehmen ; ";;"Bei den einen war Irritation  zu_b vernehmen_b , bei den anderen war_g Häme zu vernehmen ; ";;;0;1;0;1;0;13
s26714;Bei den Erkrankten handelte es sich um Personen , die am Flughafen arbeiten oder in dessen unmittelbarer Nähe wohnen , ohne selbst in ferne Länder zu reisen . ;;Bei den Erkrankten handelte es sich um Personen , die am Flughafen arbeiten oder die_f in dessen unmittelbarer Nähe wohnen , ohne selbst in ferne Länder zu reisen . ;;;1;0;0;0;0;28
s47813;Bei den Neuseeländern heißen Privatunterkünfte Home- oder Farmstays und sind auch bei reisenden Einheimischen selbst sehr beliebt . ;;Bei den Neuseeländern heißen Privatunterkünfte Home- oder Farmstays und Privatunterkünfte_s sind auch bei reisenden Einheimischen selbst sehr beliebt . ;;;0;0;0;0;1;18
s31991;Bei der Auswahl der Feriendörfer in Österreich und Italien wurden Orte mit gewachsenen Strukturen bevorzugt und auf Betonburgen als Unterkünfte verzichtet . ;;Bei der Auswahl der Feriendörfer in Österreich und Italien wurden Orte mit gewachsenen Strukturen bevorzugt und bei_fg der_fg Auswahl_fg der_fg Feriendörfer_fg in_fg Österreich_fg und_fg Italien_fg wurde_fg auf Betonburgen als Unterkünfte verzichtet . ;;;0;0;1;0;0;22
s49125;Bei der Bärin sind alle Fortpflanzungsorgane vorhanden , zeigen aber `` keine innere Aktivität '' . ;;Bei der Bärin sind alle Fortpflanzungsorgane vorhanden , alle_s Fortpflanzungsorgane_s zeigen aber `` keine innere Aktivität '' . ;;;0;0;0;0;1;16
s24156;Bei der berüchtigten `` Strafexpedition '' gegen die nigerianische Königsstadt im Jahre 1897 sind diese Prachtstücke von der britischen Soldateska geplündert und dann vor allem an Museen in London , Berlin und Wien verhökert worden . ;;Bei der berüchtigten `` Strafexpedition '' gegen die nigerianische Königsstadt im Jahre 1897 sind diese Prachtstücke von der britischen Soldateska geplündert worden_b und bei_fg der_fg berüchtigten_fg ``_fg Strafexpedition_fg ''_fg gegen_fg die_fg nigerianische_fg Königsstadt_fg im_fg Jahre_fg 1897_fg sind_fg diese_fg Prachtstücke_fg  von_fg der_fg britischen_fg Soldateska_fg dann vor allem an Museen in London , Berlin und Wien verhökert worden . ;;;0;0;1;1;0;36
s46988;Bei der Bruchlandung eines Verkehrsflugzeugs in Carajas im nordbrasilianischen Bundesstaat Paraja sind am Freitag ein Mitglied der Crew getötet und vier Personen verletzt worden . ;;Bei der Bruchlandung eines Verkehrsflugzeugs in Carajas im nordbrasilianischen Bundesstaat Paraja sind am Freitag ein Mitglied der Crew getötet worden_b und bei_fg der_fg Bruchlandung_fg eines_fg Verkehrsflugzeugs_fg in_fg Carajas_fg im_fg nordbrasilianischen_fg Bundesstaat_fg Paraja_fg sind_fg am_fg Freitag_fg  vier Personen verletzt worden . ;;;0;0;1;1;0;25
s18825;Bei der DWS können Kunden jetzt auch über Personalcomputer ( PC ) Fondsanteile kaufen oder verkaufen . ;;Bei der DWS können Kunden jetzt auch über Personalcomputer ( PC ) Fondsanteile kaufen oder bei_fg der_fg DWS_fg können_fg Kunden_fg jetzt_fg auch_fg über_fg Personalcomputer_fg (_fg PC_fg )_fg Fondsanteile_fg verkaufen . ;Bei der DWS können Kunden jetzt auch über Personalcomputer ( PC ) Fondsanteile kaufen oder verkaufen . ;;0;0;1;0;0;17
s39473;Bei der Erderkundung mit Hilfe von Satelliten lägen die hiesigen Firmen aufgrund der in der Radar-Technik gewonnenen Fähigkeiten gleichauf mit Frankreich , bei den Nachrichtensatelliten aber hinter den Franzosen , deren Raumfahrt-Budget auch doppelt so hoch sei wie das deutsche . ;;Bei der Erderkundung mit Hilfe von Satelliten lägen die hiesigen Firmen aufgrund der in der Radar-Technik gewonnenen Fähigkeiten gleichauf mit Frankreich , bei den Nachrichtensatelliten lägen_g die_g hiesigen_g Firmen_g aber hinter den Franzosen , deren Raumfahrt-Budget auch doppelt so hoch sei wie das deutsche . ;;;0;1;0;0;0;41
